,Block,ForwardAsset,ForwardQuantity,BackwardAsset,BackwardQuantity,Timestamp
0,428940,RAREPEPE,1.0,USD,6.66,1473403689
1,429221,SHITCOINCARD,230.0,USD,44.988,1473561677
2,429221,RAREPEPE,10.0,USD,48.9,1473561677
3,429228,SHITCOINCARD,3.0,USD,0.5868,1473567368
4,429228,RAREPEPE,1.0,USD,4.89,1473567368
5,429398,SHITCOINCARD,12.0,USD,2.4912,1473654430
6,429398,RAREPEPE,2.0,USD,10.379999999999999,1473654430
7,429403,RAREPEPE,1.0,USD,5.1899999999999995,1473656361
8,429403,SHITCOINCARD,755.0,USD,156.738,1473656361
9,429466,RAREPEPE,1.0,USD,5.655,1473687080
10,429480,RAREPEPE,45.0,USD,254.475,1473691446
11,429481,RAREPEPE,1.0,USD,5.655,1473694402
12,429482,RAREPEPE,5.0,USD,28.275,1473695122
13,429509,RAREPEPE,10.0,USD,56.55,1473710289
14,429509,SHITCOINCARD,10.0,USD,3.3930000000000002,1473710289
15,429512,SHITCOINCARD,10.0,USD,3.3930000000000002,1473711119
16,429512,RAREPEPE,10.0,USD,56.55,1473711119
17,429516,SHITCOINCARD,22.0,USD,7.4646,1473713394
18,429533,RAREPEPE,6.0,USD,33.93,1473726309
19,429534,SHITCOINCARD,5.0,USD,1.6965000000000001,1473726688
20,429535,SHITCOINCARD,8.0,USD,2.7144,1473727016
21,429550,SHITCOINCARD,22.0,USD,7.4646,1473738827
22,429550,RAREPEPE,2.0,USD,11.31,1473738827
23,429557,RAREPEPE,3.0,USD,16.965,1473742191
24,429557,SHITCOINCARD,40.0,USD,13.572000000000001,1473742191
25,429557,RAREPEPE,3.0,USD,16.965,1473742191
26,429558,SHITCOINCARD,75.0,USD,25.4475,1473742335
27,429558,RAREPEPE,15.0,USD,84.825,1473742335
28,429560,RAREPEPE,22.0,USD,124.41,1473744990
29,429560,RAREPEPE,10.0,USD,56.55,1473744990
30,429574,RAREPEPE,10.0,USD,76.6,1473753037
31,429575,SHITCOINCARD,35.0,USD,12.0645,1473754011
32,429577,SHITCOINCARD,773.0,USD,266.4531,1473754842
33,429577,RAREPEPE,39.0,USD,298.74,1473754842
34,429605,GOXPEPE,1.0,USD,1.149,1473771564
35,429605,GOXPEPE,75.0,USD,86.175,1473771564
36,429680,GOXPEPE,1.0,USD,1.149,1473803941
37,429686,RAREPEPE,5.0,USD,38.3,1473806821
38,429770,GURUPEPE,4.0,USD,4.81,1473857318
39,429779,RAREPEPE,12.0,USD,115.44,1473859317
40,429784,RAREPEPE,82.0,USD,788.8399999999999,1473863194
41,429786,RAREPEPE,1.0,USD,9.62,1473864004
42,429859,GOXPEPE,2.0,USD,2.8859999999999997,1473901423
43,429956,USD,11.075,RAREPEPE,1.0,1473960476
44,429980,PEPENATION,3.0,USD,1.329,1473973953
45,429997,DANKPEPE,2.0,USD,4.43,1473979033
46,430003,DANKPEPE,1.0,USD,2.215,1473983113
47,430075,GOXPEPE,3.0,USD,4.8149999999999995,1474027707
48,430091,DANKPEPE,1.0,USD,0.66875,1474032977
49,430110,PEPENATION,10.0,USD,5.35,1474041984
50,430123,USD,9.362499999999999,RAREPEPE,1.0,1474052592
51,430123,USD,9.362499999999999,RAREPEPE,1.0,1474052592
52,430155,RAREPEPE,2.0,USD,18.724999999999998,1474074958
53,430167,USD,1.07,PEPEPARTY,1.0,1474080252
54,430253,GOXPEPE,1.0,USD,1.575,1474124448
55,430253,PEPENATION,1.0,USD,0.525,1474124448
56,430253,DANKPEPE,1.0,USD,0.65625,1474124448
57,430253,GURUPEPE,1.0,USD,1.3125,1474124448
58,430253,PEPEPARTY,1.0,USD,1.05,1474124448
59,430404,BUPEPE,10.0,USD,0.484,1474217754
60,430525,LOVEPEPETATO,1.0,USD,4.33,1474289633
61,430533,RAREPEPE,1.0,USD,9.7425,1474294852
62,430534,GOXPEPE,1.0,USD,1.299,1474295155
63,430534,TRUMPRARE,1.0,USD,0.0866,1474295155
64,430546,GOXPEPE,200.0,USD,259.8,1474299962
65,430547,SHITCOINCARD,400.0,USD,207.84,1474300077
66,430548,KEISERPEPE,1.0,USD,1.299,1474302711
67,430553,SHITCOINCARD,1.0,USD,0.5196,1474305731
68,430575,RAREPEPE,2.0,USD,30.310000000000002,1474322397
69,430575,RAREPEPE,1.0,USD,15.155000000000001,1474322397
70,430576,DANKPEPE,5.0,USD,2.70625,1474323655
71,430576,TRUMPRARE,5.0,USD,4.1135,1474323655
72,430576,GOXPEPE,5.0,USD,6.495,1474323655
73,430576,SHITCOINCARD,10.0,USD,5.196,1474323655
74,430576,LOVEPEPETATO,3.0,USD,12.99,1474323655
75,430577,BUPEPE,200.0,USD,8.66,1474324356
76,430577,PEPENATION,5.0,USD,2.165,1474324356
77,430577,PEPEPARTY,5.0,USD,4.33,1474324356
78,430579,GOXPEPE,10.0,USD,12.99,1474325409
79,430597,KEISERPEPE,5.0,USD,6.495,1474335821
80,430684,HYIPPEPE,5.0,USD,2.62,1474384885
81,430686,BUPEPE,1.0,USD,0.0524,1474386325
82,430696,RAREPEPE,1.0,USD,10.48,1474390834
83,430759,HYIPPEPE,45.0,USD,23.580000000000002,1474429343
84,430965,RAREPEPE,10.0,USD,128.25,1474541985
85,430966,SHITCOINCARD,21.0,USD,11.8503,1474543193
86,430985,LOVEPEPETATO,2.0,USD,10.26,1474552377
87,430985,HYIPPEPE,10.0,USD,7.4384999999999994,1474552377
88,430986,PEPEJOINTSPH,1000.0,USD,15.903,1474553293
89,430986,STILLPEPE,50.0,USD,25.65,1474553293
90,430986,PEPEPARTY,93.0,USD,95.418,1474553293
91,430986,PEPETRATION,1.0,USD,3.8475,1474553293
92,430996,LOVEPEPETATO,1.0,USD,5.13,1474557200
93,430996,PEPETRATION,3.0,USD,11.5425,1474557200
94,430997,RAREPEPE,1.0,USD,15.39,1474557289
95,430998,HYIPPEPE,2.0,USD,1.4876999999999998,1474557676
96,430999,HYIPPEPE,20.0,USD,14.876999999999999,1474558360
97,430999,RAREPEPE,1.0,USD,15.39,1474558360
98,430999,PEPEPARTY,2.0,USD,5.13,1474558360
99,431001,HYIPPEPE,45.0,USD,34.6275,1474559764
100,431001,HYIPPEPE,5.0,USD,3.7192499999999997,1474559764
101,431001,HYIPPEPE,8.0,USD,5.950799999999999,1474559764
102,431004,RAREPEPE,4.0,USD,61.56,1474561370
103,431006,RAREPEPE,10.0,USD,179.54999999999998,1474561731
104,431007,SHITCOINCARD,2.0,USD,1.0773,1474562820
105,431007,GOXPEPE,56.0,USD,86.184,1474562820
106,431015,RAREPEPE,2.0,USD,41.04,1474567285
107,431018,DANKPEPE,42.0,USD,26.9325,1474568811
108,431018,GOXPEPE,4.0,USD,6.156,1474568811
109,431019,SHITCOINCARD,2.0,USD,1.0773,1474568935
110,431040,HYIPPEPE,5.0,USD,3.8475,1474587671
111,431040,STILLPEPE,5.0,USD,2.565,1474587671
112,431040,PEPETRATION,3.0,USD,11.5425,1474587671
113,431043,LOVEPEPETATO,3.0,USD,15.39,1474588699
114,431044,LOVEPEPETATO,1.0,USD,5.13,1474589037
115,431047,HYIPPEPE,45.0,USD,46.17,1474589532
116,431048,BUPEPE,100.0,USD,5.13,1474589912
117,431048,DANKPEPE,1.0,USD,0.64125,1474589912
118,431048,TRUMPRARE,1.0,USD,5.13,1474589912
119,431048,GOXPEPE,1.0,USD,1.539,1474589912
120,431053,DANKPEPE,30.0,USD,38.475,1474593050
121,431054,LOVEPEPETATO,1.0,USD,5.13,1474593881
122,431054,BUPEPE,658.0,USD,33.7554,1474593881
123,431054,GOXPEPE,4.0,USD,6.156,1474593881
124,431054,USD,61.56,RAREPEPE,3.0,1474593881
125,431054,BUPEPE,30.0,USD,1.539,1474593881
126,431056,LOVEPEPETATO,4.0,USD,20.52,1474594913
127,431056,PEPEPARTY,1.0,USD,2.565,1474594913
128,431056,LOVEPEPETATO,9.0,USD,46.17,1474594913
129,431057,STILLPEPE,1.0,USD,0.513,1474595071
130,431058,STILLPEPE,10.0,USD,5.13,1474595577
131,431058,GOXPEPE,2.0,USD,3.078,1474595577
132,431065,HYIPPEPE,1.0,USD,1.026,1474601358
133,431085,GOXPEPE,30.0,USD,46.17,1474613877
134,431107,GOXPEPE,60.0,USD,95.39999999999999,1474629111
135,431118,DANKPEPE,5.0,USD,9.275,1474635033
136,431118,USD,7.419999999999999,PEPEPARTY,7.0,1474635033
137,431152,LUCKYPEPE,100.0,USD,4.24,1474656371
138,431157,USD,26.5,RAREPEPE,1.0,1474660674
139,431174,DARKPILLPEPE,1.0,USD,10.069999999999999,1474671402
140,431177,RAREPEPE,1.0,USD,53.0,1474674076
141,431177,GOXPEPE,1.0,USD,1.5899999999999999,1474674076
142,431180,DANKPEPE,5.0,USD,9.275,1474675591
143,431180,BUPEPE,10.0,USD,2.65,1474675591
144,431180,GURUPEPE,5.0,USD,5.3,1474675591
145,431180,PEPEPARTY,4.0,USD,10.6,1474675591
146,431180,PEPENATION,10.0,USD,6.359999999999999,1474675591
147,431180,HYIPPEPE,4.0,USD,4.24,1474675591
148,431180,HYIPPEPE,6.0,USD,7.949999999999999,1474675591
149,431184,GOXPEPE,3.0,USD,4.77,1474679762
150,431267,PEPEBROS,3.0,USD,8.3325,1474728810
151,431272,RAREPEPE,1.0,USD,25.25,1474730724
152,431285,RAREPEPE,1.0,USD,75.75,1474735769
153,431292,PEPEBROS,2.0,USD,5.555000000000001,1474738809
154,431300,RAREPEPE,1.0,USD,90.89999999999999,1474742499
155,431300,RAREPEPE,1.0,USD,90.89999999999999,1474742499
156,431305,TRUMPRARE,1.0,USD,4.999499999999999,1474743975
157,431307,GOXPEPE,15.0,USD,22.724999999999998,1474744578
158,431313,GOXPEPE,150.0,USD,227.25,1474747644
159,431314,USD,272.7,RAREPEPE,3.0,1474749450
160,431314,USD,34.9965,TRUMPRARE,7.0,1474749450
161,431318,GURUPEPE,1.0,USD,1.01,1474750235
162,431318,BUPEPE,2.0,USD,1.01,1474750235
163,431318,KEISERPEPE,2.0,USD,0.7070000000000001,1474750235
164,431319,RAREPEPE,1.0,USD,95.95,1474750656
165,431319,RAREPEPE,1.0,USD,101.0,1474750656
166,431319,RAREPEPE,1.0,USD,151.5,1474750656
167,431320,PEPENATION,1.0,USD,0.606,1474751273
168,431325,PEPEBROS,5.0,USD,13.8875,1474753281
169,431327,LUCKYPEPE,150.0,USD,6.06,1474753980
170,431335,RAREPEPE,1.0,USD,151.5,1474756812
171,431338,RAREPEPE,1.0,USD,176.75,1474757952
172,431413,GOXPEPE,100.0,USD,151.5,1474790242
173,431447,USD,19.189999999999998,CHERPEPEFOIL,2.0,1474805178
174,431452,PEPEBONGSPHP,1.0,USD,0.12625,1474806273
175,431465,RAREPEPE,1.0,USD,126.25,1474814552
176,431467,TLCPEPE,3.0,USD,3.7874999999999996,1474816580
177,431473,SHITCOINCARD,6.0,USD,3.1814999999999998,1474818593
178,431473,SHITCOINCARD,312.0,USD,173.316,1474818593
179,431473,SHITCOINCARD,5.0,USD,2.2725,1474818593
180,431477,GURUPEPE,5.0,USD,5.05,1474820686
181,431495,DASHPEPE,1.0,USD,0.5555,1474828654
182,431496,DASHPEPE,1.0,USD,0.5555,1474829274
183,431496,DASHPEPE,8.0,USD,4.444,1474829274
184,431497,CHERPEPEFOIL,1.0,USD,15.149999999999999,1474829939
185,431497,PEPEGUN,1.0,USD,4.545,1474829939
186,431497,PEPEVIAGRA,1.0,USD,5.05,1474829939
187,431497,PEPEBOY,50.0,USD,12.625,1474829939
188,431497,DASHPEPE,1.0,USD,0.5555,1474829939
189,431499,DAOPEPEHACK,3.0,USD,6.06,1474830340
190,431516,PEPEBOY,2.0,USD,0.505,1474838281
191,431516,CHERPEPEFOIL,1.0,USD,15.149999999999999,1474838281
192,431516,PEPEBROS,3.0,USD,9.09,1474838281
193,431516,PEPEBOY,48.0,USD,12.12,1474838281
194,431519,DASHPEPE,2.0,USD,29.29,1474839703
195,431520,USD,0.505,PEPEBOY,2.0,1474840208
196,431522,PEPEGUN,1.0,USD,4.5955,1474842248
197,431523,PEPEVIAGRA,1.0,USD,5.555000000000001,1474844674
198,431529,DARKPILLPEPE,1.0,USD,9.8475,1474847190
199,431529,PEPEBROS,7.0,USD,21.21,1474847190
200,431530,PEPEBROS,9.0,USD,31.814999999999998,1474847959
201,431530,LUCKYPEPE,180.0,USD,8.181000000000001,1474847959
202,431530,PEPEBROS,1.0,USD,3.5349999999999997,1474847959
203,431530,STILLPEPE,3.0,USD,4.999499999999999,1474847959
204,431530,PEPEBROS,10.0,USD,32.824999999999996,1474847959
205,431530,DAOPEPEHACK,3.0,USD,6.06,1474847959
206,431530,RAREPEPE,1.0,USD,126.25,1474847959
207,431531,HARDPEPEFORK,1.0,USD,4.545,1474848932
208,431533,RAREPEPE,1.0,USD,121.19999999999999,1474849678
209,431535,HARDPEPEFORK,2.0,USD,9.09,1474851411
210,431535,DASHPEPE,1.0,USD,14.645,1474851411
211,431542,DASHPEPE,1.0,USD,19.695,1474855004
212,431542,RAREPEPE,1.0,USD,126.25,1474855004
213,431542,HAIRPEPE,3.0,USD,9.8475,1474855004
214,431543,PEPEKACHU,1.0,USD,5.05,1474855408
215,431544,ONLYONEPEPE,1.0,USD,505.0,1474855677
216,431544,DARKPILLPEPE,1.0,USD,14.645,1474855677
217,431544,DARKPILLPEPE,1.0,USD,9.898,1474855677
218,431544,HAIRPEPE,7.0,USD,22.9775,1474855677
219,431545,DASHPEPE,1.0,USD,23.735,1474857185
220,431552,HAIRPEPE,3.0,USD,9.696,1474859333
221,431552,PEPEKACHU,1.0,USD,5.05,1474859333
222,431554,TRUMPRARE,1.0,USD,25.25,1474860295
223,431554,PEPEVIAGRA,1.0,USD,6.06,1474860295
224,431554,CHERPEPEFOIL,1.0,USD,14.645,1474860295
225,431554,HAIRPEPE,1.0,USD,3.2319999999999998,1474860295
