,Block,Timestamp,CardName,NumCards,Payment,PriceUSD,PricePerPepe,NumberIssued
1396,434445,1476546441,BACHELORPEPE,1.0,USD,17.04,17.04,25.0
1783,434852,1476797843,BACHELORPEPE,1.0,USD,12.45,12.45,25.0
3349,439210,1479306308,BACHELORPEPE,1.0,USD,8.84,8.84,25.0
4817,446214,1483329596,BACHELORPEPE,1.0,USD,38.4,38.4,25.0
10456,455933,1488760516,BACHELORPEPE,1.0,USD,29.0,29.0,25.0
17129,470549,1497035519,BACHELORPEPE,1.0,USD,261.06,261.06,25.0
19864,476883,1500657195,BACHELORPEPE,1.0,USD,287.7,287.7,25.0
19865,476883,1500657195,BACHELORPEPE,1.0,USD,287.7,287.7,25.0
20900,477251,1500852631,BACHELORPEPE,1.0,USD,333.42,333.42,25.0
22441,480668,1502812058,BACKTOPEPE,5.0,USD,25.05542,5.011083999999999,2000.0
22451,480690,1502829416,BACKTOPEPE,1.0,USD,5.316799999999999,5.316799999999999,2000.0
22474,480729,1502855513,BACKTOPEPE,1.0,USD,5.316799999999999,5.316799999999999,2000.0
22512,480841,1502927679,BACKTOPEPE,3.0,USD,16.2168,5.4056,2000.0
22541,480888,1502948751,BACKTOPEPE,5.0,USD,27.027999999999995,5.405599999999999,2000.0
22542,480888,1502948751,BACKTOPEPE,1.0,USD,5.4056,5.4056,2000.0
22653,481063,1503036492,BACKTOPEPE,2.0,USD,8.6064,4.3032,2000.0
22740,481219,1503127475,BACKTOPEPE,1.0,USD,4.06,4.06,2000.0
23516,483632,1504610064,BACKTOPEPE,1.0,USD,4.132,4.132,2000.0
23803,484638,1505124053,BACKTOPEPE,1.0,USD,4.2088,4.2088,2000.0
13132,459807,1490988434,BADASSPEPE,4.0,USD,5.9514,1.48785,300.0
13134,459808,1490989298,BADASSPEPE,6.0,USD,8.9271,1.48785,300.0
13203,459899,1491051550,BADASSPEPE,2.0,USD,4.236999999999999,2.1185,300.0
13251,459954,1491082728,BADASSPEPE,5.0,USD,7.414749999999999,1.4829499999999998,300.0
13252,459954,1491082728,BADASSPEPE,4.0,USD,5.931799999999999,1.4829499999999998,300.0
13292,459979,1491097804,BADASSPEPE,1.0,USD,2.1185,2.1185,300.0
13373,460047,1491134455,BADASSPEPE,1.0,USD,2.543,2.543,300.0
13480,460179,1491204989,BADASSPEPE,6.0,USD,13.395,2.2325,300.0
13610,460399,1491336979,BADASSPEPE,1.0,USD,2.61668,2.61668,300.0
13625,460427,1491355907,BADASSPEPE,1.0,USD,2.61668,2.61668,300.0
13632,460427,1491355907,BADASSPEPE,2.0,USD,5.233359999999999,2.6166799999999992,300.0
14595,462417,1492515183,BADASSPEPE,1.0,USD,2.62735,2.62735,300.0
15066,463971,1493439467,BADASSPEPE,1.0,USD,2.599935,2.599935,300.0
15102,464075,1493491664,BADASSPEPE,2.0,USD,5.947314,2.973657,300.0
17428,471844,1497808166,BADASSPEPE,2.0,USD,20.436000000000003,10.218000000000002,300.0
17959,473949,1499043232,BADASSPEPE,3.0,USD,22.1505,7.3835000000000015,300.0
20221,476941,1500693158,BADASSPEPE,3.0,USD,43.155,14.385,300.0
20243,476948,1500696248,BADASSPEPE,7.0,USD,120.834,17.262,300.0
7874,453168,1487162802,BADHAIRDAY,1.0,USD,6.806,6.806,500.0
7898,453184,1487175582,BADHAIRDAY,1.0,USD,6.806,6.806,500.0
7958,453226,1487195466,BADHAIRDAY,2.0,USD,13.612,6.806,500.0
8070,453320,1487247466,BADHAIRDAY,20.0,USD,47.76,2.388,500.0
8805,453832,1487556210,BADHAIRDAY,1.0,USD,5.3020000000000005,5.3020000000000005,500.0
8857,453872,1487580792,BADHAIRDAY,1.0,USD,5.356000000000001,5.356000000000001,500.0
9516,454710,1488063822,BADHAIRDAY,2.0,USD,11.14,5.57,500.0
9542,454712,1488064451,BADHAIRDAY,2.0,USD,11.14,5.57,500.0
9767,454956,1488184175,BADHAIRDAY,1.0,USD,5.4159000000000015,5.4159000000000015,500.0
9836,455095,1488268250,BADHAIRDAY,1.0,USD,5.4159000000000015,5.4159000000000015,500.0
9890,455190,1488319987,BADHAIRDAY,1.0,USD,6.4869,6.4869,500.0
10185,455671,1488596677,BADHAIRDAY,1.0,USD,2.068,2.068,500.0
10293,455746,1488643480,BADHAIRDAY,20.0,USD,20.39,1.0195,500.0
10294,455746,1488643480,BADHAIRDAY,1.0,USD,2.039,2.039,500.0
10716,456385,1489023889,BADHAIRDAY,1.0,USD,4.0698,4.0698,500.0
11082,456946,1489341803,BADHAIRDAY,2.0,USD,8.043,4.0215,500.0
11602,457693,1489773554,BADHAIRDAY,5.0,USD,4.83725,0.96745,500.0
11603,457693,1489773554,BADHAIRDAY,3.0,USD,2.6385,0.8795000000000001,500.0
11994,458347,1490154992,BADHAIRDAY,4.0,USD,5.2948,1.3237,500.0
12228,458713,1490356977,BADHAIRDAY,5.0,USD,9.068,1.8136,500.0
12361,458818,1490404215,BADHAIRDAY,2.0,USD,3.6272000000000006,1.8136000000000003,500.0
12483,458964,1490500827,BADHAIRDAY,20.0,USD,33.708,1.6854,500.0
12786,459394,1490745388,BADHAIRDAY,23.0,USD,79.028,3.4360000000000004,500.0
12864,459453,1490786012,BADHAIRDAY,27.0,USD,94.7376,3.5088,500.0
13613,460399,1491336979,BADHAIRDAY,1.0,USD,4.138199999999999,4.138199999999999,500.0
13630,460427,1491355907,BADHAIRDAY,1.0,USD,4.138199999999999,4.138199999999999,500.0
14293,462061,1492300070,BADHAIRDAY,2.0,USD,9.02682,4.51341,500.0
14325,462099,1492319303,BADHAIRDAY,1.0,USD,4.51341,4.51341,500.0
14444,462191,1492378277,BADHAIRDAY,15.0,USD,65.50335,4.36689,500.0
14681,462768,1492727782,BADHAIRDAY,7.0,USD,39.3932,5.6276,500.0
14779,463103,1492915861,BADHAIRDAY,13.0,USD,62.2336,4.7872,500.0
14856,463228,1492987591,BADHAIRDAY,5.0,USD,27.3,5.46,500.0
14861,463230,1492988619,BADHAIRDAY,5.0,USD,27.3,5.46,500.0
15046,463865,1493372389,BADHAIRDAY,5.0,USD,27.21875,5.44375,500.0
15265,464458,1493704965,BADHAIRDAY,5.0,USD,26.83125,5.36625,500.0
15796,466248,1494705208,BADHAIRDAY,5.0,USD,20.095,4.019,500.0
15817,466307,1494739400,BADHAIRDAY,1.0,USD,10.4494,10.4494,500.0
15976,466553,1494863184,BADHAIRDAY,10.0,USD,115.212,11.5212,500.0
17613,472469,1498180257,BADHAIRDAY,1.0,USD,13.1649,13.1649,500.0
18468,474635,1499429998,BADHAIRDAY,1.0,USD,7.8105,7.8105,500.0
18608,474885,1499565322,BADHAIRDAY,1.0,USD,6.5185,6.5185,500.0
18813,475165,1499709168,BADHAIRDAY,2.0,USD,12.001,6.0005,500.0
19062,475702,1499981953,BADHAIRDAY,1.0,USD,5.842499999999999,5.842499999999999,500.0
21943,479268,1501973730,BADHAIRDAY,1.0,USD,6.2524,6.2524,500.0
22157,479834,1502298861,BADHAIRDAY,2.0,USD,13.74058,6.87029,500.0
24063,486638,1506180963,BADHAIRDAY,7.0,USD,39.6102,5.6586,500.0
24337,487811,1506862761,BADHAIRDAY,2.0,USD,15.0964,7.5482,500.0
12687,459226,1490652691,BADLTPEPE,4.0,USD,3.702,0.9255,5000.0
12793,459399,1490748732,BADLTPEPE,2.0,USD,4.295,2.1475,5000.0
12984,459604,1490869377,BADLTPEPE,1.0,USD,1.974543,1.974543,5000.0
13213,459919,1491060164,BADLTPEPE,1.0,USD,2.114263,2.114263,5000.0
13611,460399,1491336979,BADLTPEPE,1.0,USD,2.08582,2.08582,5000.0
13626,460427,1491355907,BADLTPEPE,1.0,USD,2.08582,2.08582,5000.0
14904,463243,1492993460,BADLTPEPE,4.0,USD,3.64,0.91,5000.0
15345,464796,1493900436,BADLTPEPE,3.0,USD,5.03874,1.67958,5000.0
21191,477621,1501050713,BADLTPEPE,2.0,USD,3.1791,1.58955,5000.0
24020,486222,1505953629,BADLTPEPE,1.0,USD,0.9435,0.9435,5000.0
24035,486327,1506006470,BADLTPEPE,1.0,USD,0.8338999999999999,0.8338999999999999,5000.0
24215,487347,1506600187,BADLTPEPE,5.0,USD,6.172999999999999,1.2346,5000.0
24384,488089,1507020472,BADLTPEPE,5.0,USD,6.2490000000000006,1.2498,5000.0
18886,475379,1499816261,BAGHOLDRPEPE,1.0,USD,32.15085,32.15085,100.0
18974,475569,1499912535,BAGHOLDRPEPE,4.0,USD,140.0034,35.00085,100.0
19042,475670,1499964643,BAGHOLDRPEPE,2.0,USD,73.6155,36.80775,100.0
19144,475973,1500159741,BAGHOLDRPEPE,1.0,USD,27.9027,27.9027,100.0
19283,476566,1500487295,BAGHOLDRPEPE,3.0,USD,101.93715,33.97905,100.0
19287,476566,1500487295,BAGHOLDRPEPE,3.0,USD,101.93715,33.97905,100.0
21330,477807,1501161824,BAGHOLDRPEPE,1.0,USD,36.3132,36.3132,100.0
21466,477976,1501253264,BAGHOLDRPEPE,5.0,USD,178.6995,35.7399,100.0
21573,478170,1501364866,BAGHOLDRPEPE,4.0,USD,162.862,40.7155,100.0
22694,481158,1503095725,BAGHOLDRPEPE,2.0,USD,118.95574014036684,59.47787007018342,100.0
529,432098,1475165734,BANANAPEPE,100.0,USD,0.418,0.00418,50000.0
551,432111,1475170822,BANANAPEPE,1000.0,USD,4.18,0.00418,50000.0
785,433357,1475881748,BANANAPEPE,1.0,USD,0.00412,0.00412,50000.0
815,433518,1475963930,BANANAPEPE,3.0,USD,0.012480000000000002,0.0041600000000000005,50000.0
913,433807,1476138067,BANANAPEPE,1000.0,USD,4.11,0.00411,50000.0
963,433889,1476185069,BANANAPEPE,1.0,USD,0.00472,0.00472,50000.0
973,433923,1476209126,BANANAPEPE,1025.0,USD,4.837999999999999,0.004719999999999999,50000.0
1297,434266,1476430095,BANANAPEPE,500.0,USD,6.75,0.0135,50000.0
2061,435187,1477018954,BANANAPEPE,1.0,USD,0.01143,0.01143,50000.0
2309,435683,1477296968,BANANAPEPE,500.0,USD,7.66,0.015319999999999999,50000.0
2682,436952,1478029703,BANANAPEPE,500.0,USD,5.64,0.01128,50000.0
2735,437025,1478086042,BANANAPEPE,10.0,USD,0.1088,0.01088,50000.0
2784,437153,1478155455,BANANAPEPE,200.0,USD,2.176,0.010879999999999999,50000.0
3389,439412,1479413306,BANANAPEPE,25.0,USD,0.237,0.00948,50000.0
4060,443001,1481486435,BANANAPEPE,10.0,USD,0.1005,0.01005,50000.0
4896,446507,1483486611,BANANAPEPE,50.0,USD,0.6755,0.01351,50000.0
5003,447114,1483839318,BANANAPEPE,50.0,USD,0.7,0.014,50000.0
5014,447116,1483839759,BANANAPEPE,70.0,USD,0.98,0.013999999999999999,50000.0
5176,447891,1484265101,BANANAPEPE,1.0,USD,4.246,4.246,50000.0
5472,448660,1484677790,BANANAPEPE,240.0,USD,2.8368,0.01182,50000.0
5792,449450,1485072122,BANANAPEPE,10.0,USD,3.67,0.36700000000000005,50000.0
5850,449552,1485118159,BANANAPEPE,1.0,USD,0.3670000000000001,0.3670000000000001,50000.0
7407,452688,1486899897,BANANAPEPE,2.0,USD,1.016,0.508,50000.0
7410,452688,1486899897,BANANAPEPE,2.0,USD,1.016,0.508,50000.0
7769,453087,1487112078,BANANAPEPE,2.0,USD,1.818,0.909,50000.0
8948,453981,1487643932,BANANAPEPE,2.0,USD,1.3390000000000002,0.6695000000000001,50000.0
9085,454276,1487829507,BANANAPEPE,2.0,USD,1.1495,0.57475,50000.0
9179,454412,1487906437,BANANAPEPE,1.0,USD,0.71475,0.71475,50000.0
9192,454415,1487907530,BANANAPEPE,1.0,USD,0.71475,0.71475,50000.0
10483,455979,1488783946,BANANAPEPE,3.0,USD,1.59696,0.53232,50000.0
10718,456388,1489027127,BANANAPEPE,10.0,USD,0.28600000000000003,0.028600000000000007,50000.0
12472,458959,1490497897,BANANAPEPE,2.0,USD,1.48877,0.7443850000000001,50000.0
14959,463328,1493048633,BANANAPEPE,11.0,USD,7.34085,0.66735,50000.0
16062,466924,1495082889,BANANAPEPE,1.0,USD,0.6726300000000001,0.6726300000000001,50000.0
16390,468016,1495688054,BANANAPEPE,1.0,USD,0.53632,0.53632,50000.0
17187,470898,1497242260,BANANAPEPE,30.0,USD,12.4866,0.41622,50000.0
17553,472276,1498062712,BANANAPEPE,25.0,USD,9.565,0.3826,50000.0
19802,476816,1500622455,BANANAPEPE,2.0,USD,2.877,1.4385,50000.0
19804,476816,1500622455,BANANAPEPE,5.0,USD,5.538225,1.107645,50000.0
22751,481243,1503142483,BANANAPEPE,1.0,USD,0.25375,0.25375,50000.0
24405,488107,1507027663,BANANAPEPE,5.0,USD,1.37478,0.274956,50000.0
12011,458371,1490169438,BANDAGEDPEPE,1.0,USD,2.22057,2.22057,
12018,458383,1490176447,BANDAGEDPEPE,2.0,USD,4.261699999999999,2.1308499999999992,
12022,458387,1490177474,BANDAGEDPEPE,9.0,USD,19.985129999999998,2.2205700000000004,
12032,458397,1490186230,BANDAGEDPEPE,1.0,USD,2.4673,2.4673,
12036,458406,1490189885,BANDAGEDPEPE,2.0,USD,4.9346,2.4673,
12037,458410,1490191450,BANDAGEDPEPE,2.0,USD,4.9346,2.4673,
12044,458446,1490206204,BANDAGEDPEPE,4.0,USD,13.457999999999998,3.3645,
12205,458646,1490321906,BANDAGEDPEPE,1.0,USD,3.81,3.81,
12501,458991,1490517253,BANDAGEDPEPE,2.0,USD,13.428,6.714,
12631,459136,1490594970,BANDAGEDPEPE,1.0,USD,6.714,6.714,
12678,459224,1490651772,BANDAGEDPEPE,2.0,USD,9.6252,4.8126,
13561,460323,1491282157,BANDAGEDPEPE,3.0,USD,26.79000000000001,8.930000000000003,
13612,460399,1491336979,BANDAGEDPEPE,1.0,USD,8.36,8.36,
16196,467440,1495372057,BANDAGEDPEPE,1.0,USD,83.81823299999998,83.81823299999998,
16246,467615,1495476311,BANDAGEDPEPE,1.0,USD,101.22024,101.22024,
16600,468497,1495946065,BANDAGEDPEPE,1.0,USD,46.04327000000001,46.04327000000001,
17217,471058,1497340582,BANDAGEDPEPE,1.0,USD,73.46249999999998,73.46249999999998,
18279,474417,1499299412,BANDAGEDPEPE,3.0,USD,218.7486,72.9162,
18304,474436,1499311227,BANDAGEDPEPE,1.0,USD,72.9162,72.9162,
19398,476636,1500523130,BANDAGEDPEPE,1.0,USD,56.491519,56.491519,
19887,476891,1500663703,BANDAGEDPEPE,1.0,USD,71.925,71.925,
252,431606,1474889079,BANEPEPE,2.0,USD,8.86,4.43,1000.0
280,431676,1474928581,BANEPEPE,1.0,USD,3.1009999999999995,3.1009999999999995,1000.0
373,431861,1475029462,BANEPEPE,3.0,USD,4.176,1.392,1000.0
440,431952,1475084023,BANEPEPE,4.0,USD,5.1960000000000015,1.2990000000000002,1000.0
810,433507,1475959509,BANEPEPE,1.0,USD,1.248,1.248,1000.0
950,433877,1476180949,BANEPEPE,1.0,USD,1.416,1.416,1000.0
990,433952,1476229544,BANEPEPE,2.0,USD,2.832,1.416,1000.0
1299,434268,1476430818,BANEPEPE,1.0,USD,1.0125,1.0125,1000.0
1482,434515,1476586568,BANEPEPE,10.0,USD,14.91,1.4909999999999999,1000.0
1614,434629,1476660341,BANEPEPE,10.0,USD,20.35,2.035,1000.0
1847,434925,1476842355,BANEPEPE,1.0,USD,2.075,2.075,1000.0
1915,435009,1476889948,BANEPEPE,2.0,USD,4.11,2.055,1000.0
2220,435485,1477180734,BANEPEPE,1.0,USD,2.0508900000000003,2.0508900000000003,1000.0
2314,435705,1477311453,BANEPEPE,2.0,USD,0.7659999999999999,0.383,1000.0
2402,435926,1477446147,BANEPEPE,5.0,USD,1.925,0.385,1000.0
2485,436185,1477599307,BANEPEPE,6.0,USD,2.262,0.377,1000.0
2640,436889,1477993887,BANEPEPE,10.0,USD,4.23,0.423,1000.0
4061,443001,1481486435,BANEPEPE,10.0,USD,0.0402,0.00402,1000.0
5106,447723,1484181750,BANEPEPE,1.0,USD,0.95,0.95,1000.0
5457,448591,1484635491,BANEPEPE,1.0,USD,1.6,1.6,1000.0
6209,450489,1485648164,BANEPEPE,2.0,USD,1.42,0.71,1000.0
6331,450639,1485725301,BANEPEPE,1.0,USD,0.7875,0.7875,1000.0
6335,450639,1485725301,BANEPEPE,2.0,USD,1.89,0.945,1000.0
6487,450830,1485841766,BANEPEPE,3.0,USD,2.6910000000000003,0.8970000000000001,1000.0
6884,451844,1486403195,BANEPEPE,10.0,USD,8.075,0.8074999999999999,1000.0
6962,451997,1486498914,BANEPEPE,4.0,USD,3.59,0.8975,1000.0
7213,452472,1486764464,BANEPEPE,6.0,USD,4.62,0.77,1000.0
7384,452678,1486891918,BANEPEPE,1.0,USD,1.3119999999999998,1.3119999999999998,1000.0
7441,452746,1486935380,BANEPEPE,1.0,USD,1.524,1.524,1000.0
7488,452768,1486945497,BANEPEPE,1.0,USD,1.3119999999999998,1.3119999999999998,1000.0
7501,452787,1486955502,BANEPEPE,1.0,USD,1.524,1.524,1000.0
7632,453025,1487074923,BANEPEPE,98.0,USD,267.246,2.727,1000.0
7706,453064,1487100059,BANEPEPE,5.0,USD,7.84,1.568,1000.0
7768,453086,1487111612,BANEPEPE,2.0,USD,5.8176,2.9088,1000.0
7820,453114,1487127482,BANEPEPE,10.0,USD,29.088,2.9088000000000003,1000.0
7916,453196,1487180068,BANEPEPE,5.0,USD,13.612,2.7224,1000.0
8169,453420,1487313271,BANEPEPE,1.0,USD,2.4336,2.4336,1000.0
8472,453601,1487411399,BANEPEPE,1.0,USD,2.0296000000000003,2.0296000000000003,1000.0
8775,453800,1487534494,BANEPEPE,1.0,USD,1.8557,1.8557,1000.0
8778,453800,1487534494,BANEPEPE,1.0,USD,2.1208,2.1208,1000.0
8985,454038,1487681081,BANEPEPE,2.0,USD,4.3888,2.1944,1000.0
9290,454531,1487968254,BANEPEPE,1.0,USD,2.0968,2.0968,1000.0
10590,456198,1488915310,BANEPEPE,20.0,USD,16.2,0.8099999999999999,1000.0
10850,456538,1489116528,BANEPEPE,1.0,USD,6.162717,6.162717,1000.0
11287,457305,1489553624,BANEPEPE,50.0,USD,48.925,0.9785,1000.0
11638,457734,1489799728,BANEPEPE,2.0,USD,1.6632000000000002,0.8316000000000001,1000.0
12385,458862,1490439216,BANEPEPE,1.0,USD,2.10675,2.10675,1000.0
12457,458955,1490497405,BANEPEPE,28.0,USD,35.3934,1.26405,1000.0
12459,458955,1490497405,BANEPEPE,1.0,USD,1.26405,1.26405,1000.0
12788,459397,1490746491,BANEPEPE,5.0,USD,10.7375,2.1475,1000.0
13508,460262,1491244614,BANEPEPE,1.0,USD,2.6790000000000003,2.6790000000000003,1000.0
13595,460351,1491300885,BANEPEPE,2.0,USD,5.016,2.508,1000.0
13697,460525,1491403237,BANEPEPE,2.0,USD,5.5704,2.7852,1000.0
14002,461344,1491875048,BANEPEPE,10.0,USD,26.318500000000004,2.6318500000000005,1000.0
15954,466500,1494832635,BANEPEPE,4.0,USD,19.58604,4.89651,1000.0
15970,466542,1494857848,BANEPEPE,4.0,USD,18.04988,4.51247,1000.0
15984,466594,1494886359,BANEPEPE,5.0,USD,26.8828,5.37656,1000.0
