,Block,ForwardAsset,ForwardQuantity,BackwardAsset,BackwardQuantity,Timestamp,PricePerPepe
0,428940,RAREPEPE,1.0,USD,6.66,1473403689,6.66
1,429221,SHITCOINCARD,230.0,USD,44.988,1473561677,0.1956
2,429221,RAREPEPE,10.0,USD,48.9,1473561677,4.89
3,429228,SHITCOINCARD,3.0,USD,0.5868,1473567368,0.1956
4,429228,RAREPEPE,1.0,USD,4.89,1473567368,4.89
5,429398,SHITCOINCARD,12.0,USD,2.4912,1473654430,0.2076
6,429398,RAREPEPE,2.0,USD,10.38,1473654430,5.19
7,429403,RAREPEPE,1.0,USD,5.19,1473656361,5.19
8,429403,SHITCOINCARD,755.0,USD,156.738,1473656361,0.2076
9,429466,RAREPEPE,1.0,USD,5.655,1473687080,5.655
10,429480,RAREPEPE,45.0,USD,254.475,1473691446,5.655
11,429481,RAREPEPE,1.0,USD,5.655,1473694402,5.655
12,429482,RAREPEPE,5.0,USD,28.275,1473695122,5.654999999999999
13,429509,RAREPEPE,10.0,USD,56.55,1473710289,5.654999999999999
14,429509,SHITCOINCARD,10.0,USD,3.393,1473710289,0.3393
15,429512,SHITCOINCARD,10.0,USD,3.393,1473711119,0.3393
16,429512,RAREPEPE,10.0,USD,56.55,1473711119,5.654999999999999
17,429516,SHITCOINCARD,22.0,USD,7.4646,1473713394,0.3393
18,429533,RAREPEPE,6.0,USD,33.93,1473726309,5.655
19,429534,SHITCOINCARD,5.0,USD,1.6965,1473726688,0.3393
20,429535,SHITCOINCARD,8.0,USD,2.7144,1473727016,0.3393
21,429550,SHITCOINCARD,22.0,USD,7.4646,1473738827,0.3393
22,429550,RAREPEPE,2.0,USD,11.31,1473738827,5.655
23,429557,RAREPEPE,3.0,USD,16.965,1473742191,5.655
24,429557,SHITCOINCARD,40.0,USD,13.572,1473742191,0.3393
25,429557,RAREPEPE,3.0,USD,16.965,1473742191,5.655
26,429558,SHITCOINCARD,75.0,USD,25.4475,1473742335,0.33930000000000005
27,429558,RAREPEPE,15.0,USD,84.825,1473742335,5.655
28,429560,RAREPEPE,22.0,USD,124.41,1473744990,5.655
29,429560,RAREPEPE,10.0,USD,56.55,1473744990,5.654999999999999
30,429574,RAREPEPE,10.0,USD,76.6,1473753037,7.659999999999999
31,429575,SHITCOINCARD,35.0,USD,12.0645,1473754011,0.3447
32,429577,SHITCOINCARD,773.0,USD,266.4531,1473754842,0.3447
33,429577,RAREPEPE,39.0,USD,298.74,1473754842,7.66
34,429605,GOXPEPE,1.0,USD,1.149,1473771564,1.149
35,429605,GOXPEPE,75.0,USD,86.175,1473771564,1.149
36,429680,GOXPEPE,1.0,USD,1.149,1473803941,1.149
37,429686,RAREPEPE,5.0,USD,38.3,1473806821,7.659999999999999
38,429770,GURUPEPE,4.0,USD,4.81,1473857318,1.2025
39,429779,RAREPEPE,12.0,USD,115.44,1473859317,9.62
40,429784,RAREPEPE,82.0,USD,788.8399999999998,1473863194,9.619999999999997
41,429786,RAREPEPE,1.0,USD,9.62,1473864004,9.62
42,429859,GOXPEPE,2.0,USD,2.886,1473901423,1.443
43,429956,RAREPEPE,1.0,USD,11.075,1473960476,11.075
44,429980,PEPENATION,3.0,USD,1.329,1473973953,0.443
45,429997,DANKPEPE,2.0,USD,4.43,1473979033,2.215
46,430003,DANKPEPE,1.0,USD,2.215,1473983113,2.215
47,430075,GOXPEPE,3.0,USD,4.815,1474027707,1.6050000000000002
48,430091,DANKPEPE,1.0,USD,0.66875,1474032977,0.66875
49,430110,PEPENATION,10.0,USD,5.35,1474041984,0.5349999999999999
50,430123,RAREPEPE,1.0,USD,9.3625,1474052592,9.3625
51,430123,RAREPEPE,1.0,USD,9.3625,1474052592,9.3625
52,430155,RAREPEPE,2.0,USD,18.725,1474074958,9.3625
53,430167,PEPEPARTY,1.0,USD,1.07,1474080252,1.07
54,430253,GOXPEPE,1.0,USD,1.575,1474124448,1.575
55,430253,PEPENATION,1.0,USD,0.525,1474124448,0.525
56,430253,DANKPEPE,1.0,USD,0.65625,1474124448,0.65625
57,430253,GURUPEPE,1.0,USD,1.3125,1474124448,1.3125
58,430253,PEPEPARTY,1.0,USD,1.05,1474124448,1.05
59,430404,BUPEPE,10.0,USD,0.484,1474217754,0.0484
60,430525,LOVEPEPETATO,1.0,USD,4.33,1474289633,4.33
61,430533,RAREPEPE,1.0,USD,9.7425,1474294852,9.7425
62,430534,GOXPEPE,1.0,USD,1.2990000000000002,1474295155,1.2990000000000002
63,430534,TRUMPRARE,1.0,USD,0.0866,1474295155,0.0866
64,430546,GOXPEPE,200.0,USD,259.8,1474299962,1.2990000000000002
65,430547,SHITCOINCARD,400.0,USD,207.84,1474300077,0.5196000000000001
66,430548,KEISERPEPE,1.0,USD,1.2990000000000002,1474302711,1.2990000000000002
67,430553,SHITCOINCARD,1.0,USD,0.5196,1474305731,0.5196
68,430575,RAREPEPE,2.0,USD,30.31,1474322397,15.155
69,430575,RAREPEPE,1.0,USD,15.155,1474322397,15.155
70,430576,DANKPEPE,5.0,USD,2.70625,1474323655,0.54125
71,430576,TRUMPRARE,5.0,USD,4.1135,1474323655,0.8227
72,430576,GOXPEPE,5.0,USD,6.495,1474323655,1.299
73,430576,SHITCOINCARD,10.0,USD,5.196000000000001,1474323655,0.5196000000000001
